Provincia,Partido,Localidad,Link Indec,ADSL,Cablemodem,Dail Up,Fibra Optica,Otros1,Satelital,Wimax,Wireless,Total general,Otros,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps
Buenos Aires,25 De Mayo,25 De Mayo,6854100,756,4600,0,3,0,742,0,726,6827,,2.0,19.0,230.0,663.0,415.0,3443.0,1474.0
Buenos Aires,25 De Mayo,Del Valle,6854020,181,0,0,0,10,1,0,0,192,,1.0,0.0,181.0,10.0,0.0,0.0,0.0
Buenos Aires,25 De Mayo,Gobernador Ugarte,6854040,0,0,0,0,0,0,0,181,181,,0.0,0.0,172.0,8.0,0.0,0.0,1.0
Buenos Aires,25 De Mayo,Norberto De La Riestra,6854060,0,782,0,496,16,0,0,185,1479,,0.0,0.0,223.0,916.0,322.0,29.0,20.0
Buenos Aires,25 De Mayo,Lucas Monteverde,6854050,0,0,0,0,0,0,0,6,6,,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Buenos Aires,25 De Mayo,Ernestina,6854030,75,0,0,0,0,0,0,0,75,,0.0,0.0,75.0,0.0,0.0,0.0,0.0
Buenos Aires,25 De Mayo,Pedernales,6854070,154,0,0,25,21,0,0,7,207,,0.0,0.0,0.0,179.0,3.0,0.0,25.0
Buenos Aires,9 De Julio,12 De Octubre,6588030,0,0,0,0,0,0,0,19,19,,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Buenos Aires,9 De Julio,9 De Julio,6588100,4241,3556,80,6237,0,0,0,831,14945,,0.0,9.0,466.0,7826.0,1239.0,1506.0,3681.0
Buenos Aires,9 De Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,0,0,0,60,0,0,0,510,,0.0,0.0,510.0,0.0,0.0,0.0,0.0
Buenos Aires,9 De Julio,Dudignac,6588040,0,0,0,0,0,0,0,474,474,,0.0,8.0,283.0,98.0,0.0,0.0,0.0
Buenos Aires,9 De Julio,Manuel B. Gonnet  (Est. French),6588060,193,0,0,2,2,0,0,0,197,,0.0,1.0,193.0,3.0,0.0,0.0,0.0
Buenos Aires,9 De Julio,Villa General Fournier  (Est. 9 De Julio Sud),6588120,0,0,0,118,0,0,0,42,160,,0.0,0.0,42.0,43.0,29.0,43.0,3.0
Buenos Aires,9 De Julio,Patricios,6588110,81,0,0,0,0,0,0,50,131,,0.0,0.0,50.0,60.0,21.0,0.0,0.0
Buenos Aires,9 De Julio,Morea,6588080,0,0,0,0,0,0,0,130,130,,0.0,0.0,130.0,0.0,0.0,0.0,0.0
Buenos Aires,Adolfo Alsina,Carhué,6007010,766,0,1,1417,1,0,0,1066,3251,,0.0,0.0,783.0,139.0,1231.0,1.0,1112.0
Buenos Aires,Adolfo Alsina,Maza,6007070,0,0,0,390,0,2,0,14,406,10.0,2.0,0.0,386.0,6.0,0.0,2.0,0.0
Buenos Aires,Adolfo Alsina,Rivera,6007080,0,0,0,1253,0,0,0,0,1253,,0.0,0.0,0.0,52.0,1153.0,22.0,26.0
